Isp_s,epsilon,payloadFraction
300,0.05,-0.009514
300,0.06,-0.020253
300,0.07,-0.031224
300,0.08,-0.042433
300,0.09,-0.053888
300,0.1,-0.065598
300,0.11,-0.077571
300,0.12,-0.089816
300,0.13,-0.102343
300,0.14,-0.11516
300,0.15,-0.12828
350,0.05,0.015428
350,0.06,0.004954
350,0.07,-0.005746
350,0.08,-0.016678
350,0.09,-0.02785
350,0.1,-0.039271
350,0.11,-0.050948
350,0.12,-0.06289
350,0.13,-0.075107
350,0.14,-0.087609
350,0.15,-0.100404
400,0.05,0.043212
400,0.06,0.033033
400,0.07,0.022636
400,0.08,0.012012
400,0.09,0.001155
400,0.1,-0.009943
400,0.11,-0.021291
400,0.12,-0.032896
400,0.13,-0.044769
400,0.14,-0.056917
400,0.15,-0.069352
450,0.05,0.072451
450,0.06,0.062584
450,0.07,0.052504
450,0.08,0.042205
450,0.09,0.03168
450,0.1,0.020921
450,0.11,0.00992
450,0.12,-0.001331
450,0.13,-0.012841
450,0.14,-0.024618
450,0.15,-0.036672
500,0.05,0.102145
500,0.06,0.092593
500,0.07,0.082836
500,0.08,0.072867
500,0.09,0.062679
500,0.1,0.052264
500,0.11,0.041615
500,0.12,0.030725
500,0.13,0.019584
500,0.14,0.008183
500,0.15,-0.003485
550,0.05,0.131612
550,0.06,0.122374
550,0.07,0.112937
550,0.08,0.103295
550,0.09,0.093442
550,0.1,0.083369
550,0.11,0.073069
550,0.12,0.062536
550,0.13,0.051761
550,0.14,0.040735
550,0.15,0.029449
600,0.05,0.160411
600,0.06,0.151479
600,0.07,0.142356
600,0.08,0.133033
600,0.09,0.123506
600,0.1,0.113767
600,0.11,0.10381
600,0.12,0.093626
600,0.13,0.083208
600,0.14,0.072547
600,0.15,0.061636
650,0.05,0.188268
650,0.06,0.179633
650,0.07,0.170812
650,0.08,0.161799
650,0.09,0.152588
650,0.1,0.143172
650,0.11,0.133545
650,0.12,0.123699
650,0.13,0.113626
650,0.14,0.10332
650,0.15,0.092771
700,0.05,0.215028
700,0.06,0.206677
700,0.07,0.198147
700,0.08,0.189431
700,0.09,0.180524
700,0.1,0.171418
700,0.11,0.162108
700,0.12,0.152587
700,0.13,0.142846
700,0.14,0.13288
700,0.15,0.122678
750,0.05,0.240612
750,0.06,0.232534
750,0.07,0.224281
750,0.08,0.21585
750,0.09,0.207233
750,0.1,0.198424
750,0.11,0.189418
750,0.12,0.180206
750,0.13,0.170783
750,0.14,0.161141
750,0.15,0.151272
800,0.05,0.264997
800,0.06,0.257178
800,0.07,0.24919
800,0.08,0.241029
800,0.09,0.232689
800,0.1,0.224163
800,0.11,0.215446
800,0.12,0.206531
800,0.13,0.19741
800,0.14,0.188078
800,0.15,0.178526
850,0.05,0.288191
850,0.06,0.280619
850,0.07,0.272883
850,0.08,0.26498
850,0.09,0.256903
850,0.1,0.248646
850,0.11,0.240204
850,0.12,0.23157
850,0.13,0.222737
850,0.14,0.213699
850,0.15,0.204449
900,0.05,0.310226
900,0.06,0.302888
900,0.07,0.295393
900,0.08,0.287734
900,0.09,0.279907
900,0.1,0.271906
900,0.11,0.263725
900,0.12,0.255358
900,0.13,0.246799
900,0.14,0.238041
900,0.15,0.229077
